corridor,counted,reason_if_excluded,address,permitnum,permittype,permitclass,issued_year,issued_date,status,units_added,units_removed,net_units,description
Stone Way N,False,#4612 outside 34th-45th segment,4612 STONE WAY N,6603689-CN,New,Multifamily,2019,2019-03-19,Completed,40.0,0.0,0,Construct new mixed-use building  occupy per plan. (Related permit 6787377-CN to add a 4th story)
Stone Way N,True,,4453 STONE WAY N,6578093-CN,New,Single Family/Duplex,2020,2020-08-11,Completed,42.0,0.0,42.0,Construction of residential and retail building with below grade parking and occupy  per plan.
Stone Way N,True,,4106 STONE WAY N,6745985-PH,Addition/Alteration,Multifamily,2020,2020-09-09,Completed,118.0,0.0,118.0,Phased permit: Construct residential mixed use building with ground floor commercial and partially below-grade parking  
Stone Way N,False,#4612 outside 34th-45th segment,4612 STONE WAY N,6787377-CN,Addition/Alteration,Multifamily,2021,2021-02-09,Completed,15.0,0.0,0,Construct alterations and addition to add 4th floor to multi-family building  occupy per plan. (Primary construction per
Stone Way N,False,demolition permit (units counted on construction permit),3665 STONE WAY N,6777620-DM,Demolition,Commercial,2022,2022-02-17,Completed,236.0,0.0,0,Demolish existing structure  per plan.
Stone Way N,True,,3665 STONE WAY N,6811772-PH,New,Multifamily,2022,2022-04-21,Expired,243.0,0.0,243.0,PHASED PROJECT: Construct mixed-use residential building with below-grade parking  occupy per plan.
Stone Way N,False,demolition permit (units counted on construction permit),4009 STONE WAY N,6746477-DM,Demolition,Commercial,2022,2022-05-06,Completed,104.0,0.0,0,Demo existing commercial building  per plan.
Stone Way N,False,demolition permit (units counted on construction permit),4011 STONE WAY N,6746800-DM,Demolition,Multifamily,2022,2022-05-06,Completed,104.0,0.0,0,Demolish commercial structure  per plan
Stone Way N,False,demolition permit (units counted on construction permit),4015 STONE WAY N,6808086-DM,Demolition,Multifamily,2022,2022-05-06,Completed,104.0,0.0,0,Demolish office/warehouse building  per plan.
Stone Way N,True,,4205 STONE WAY N,6726309-CN,New,Multifamily,2023,2023-01-18,Issued,80.0,0.0,80.0,Construct a mixed-use building  occupy per plans
Stone Way N,True,,4015 STONE WAY N,6746799-CN,New,Multifamily,2023,2023-03-24,Completed,125.0,0.0,125.0,Construct new residential and commercial building  occupy per plan.
Stone Way N,True,,3839 STONE WAY N,6963639-PH,New,Multifamily,2025,2025-10-14,Issued,231.0,0.0,231.0,Phased Project: Construct mixed-use apartment building with below-grade parking  occupy per plan. Mechanical included.
Stone Way N,False,not issued (pipeline),3665 STONE WAY N,6777619-CN,New,Multifamily,,,Additional Info Requested,236.0,0.0,0,New Construction of a 8-story mixed-use structure with approximately 236 residential apartments  2500 SF retail and  81 
Stone Way N,False,not issued (pipeline),3920 STONE WAY N,6112210-CN,New,Commercial,,,Canceled,28.0,0.0,0,LFD LTR SENT 6/4/10 LFD 7/20/10 PROJECT CANCELLED PER THE 2006 SBC SECTION 106.6.7  PHASE III OF III FOR CONSTRUCTION OF
Stone Way N,False,#4615 outside 34th-45th segment,4615 STONE WAY N,7046518-DM,,Commercial,,,Additional Info Requested,2.0,0.0,0,Remove existing structure and construct 2 live-work units.
Stone Way N,False,#4615 outside 34th-45th segment,4615 STONE WAY N,7046517-CN,New,Commercial,,,Additional Info Requested,2.0,0.0,0,Remove existing structure and construct 2 live-work units.
